"identifier","alternative_identifiers","country","continent","region","culture","epoch","group","comment","latitude","longitude","sex","site","site_detail","mt_hg","ychr_hg","year_from","year_to","date_detail","bp","c14_lab_code","reference_names","reference_links","reference_data_links","c14_sample_tag","c14_layer_tag","avg_coverage","sequence_source","ychr_snps"
"1622BM","1622","Egypt","Africa","Near East","Pre-Ptolemaic Period","Classical Age","CLNE","",29.9,31.2,"F","Abusir el-Meleq","","R0a2f","",-806,-784,"cal BC 806- 784","","","Schuenemann et al. 2017","https://doi.org/10.1038/ncomms15694","https://www.ebi.ac.uk/ena/data/view/PRJEB15464","1","0",35.72,"bam",""
"19159","","Turkey","Asia","Anatolia","Çatalhöyük","Neolithic","NENE","Middle Neolithic, probable XY",37.666667,32.828056,"U","Çatalhöyük","","N","",-6450,-6380,"6450-6380 calBCE","","","Chyleński et al. 2019","http://dx.doi.org/10.3390/genes10030207","https://www.ncbi.nlm.nih.gov/popset/1561759632","0","1",13.7,"reconstructed",""
"19727","","Turkey","Asia","Anatolia","Çatalhöyük","Neolithic","NENE","Middle Neolithic",37.666667,32.828056,"M","Çatalhöyük","","K","",-6450,-6380,"6450-6380 calBCE","","","Chyleński et al. 2019","http://dx.doi.org/10.3390/genes10030207","https://www.ncbi.nlm.nih.gov/popset/1561759632","0","1",25.5,"reconstructed",""
"20036","","Turkey","Asia","Anatolia","Çatalhöyük","Neolithic","NENE","Middle Neolithic, probable XY",37.666667,32.828056,"U","Çatalhöyük","","U3b","",-6450,-6380,"6450-6380 calBCE","","","Chyleński et al. 2019","http://dx.doi.org/10.3390/genes10030207","https://www.ncbi.nlm.nih.gov/popset/1561759632","0","1",242.3,"reconstructed",""
"20351","","Turkey","Asia","Anatolia","Çatalhöyük","Neolithic","NENE","Middle Neolithic",37.666667,32.828056,"U","Çatalhöyük","","U5b2","",-6450,-6380,"6450-6380 calBCE","","","Chyleński et al. 2019","http://dx.doi.org/10.3390/genes10030207","https://www.ncbi.nlm.nih.gov/popset/1561759632","0","1",18.0,"reconstructed",""
"20374","","Turkey","Asia","Anatolia","Çatalhöyük","Neolithic","NENE","Middle Neolithic",37.666667,32.828056,"U","Çatalhöyük","","X2b4","",-6450,-6380,"6450-6380 calBCE","","","Chyleński et al. 2019","http://dx.doi.org/10.3390/genes10030207","https://www.ncbi.nlm.nih.gov/popset/1561759632","0","1",41.9,"reconstructed",""
"20810","","Turkey","Asia","Anatolia","Çatalhöyük","Neolithic","NENE","Middle Neolithic",37.666667,32.828056,"U","Çatalhöyük","","W1c","",-6450,-6380,"6450-6380 calBCE","","","Chyleński et al. 2019","http://dx.doi.org/10.3390/genes10030207","https://www.ncbi.nlm.nih.gov/popset/1561759632","0","1",23.1,"reconstructed",""
"20832","","Turkey","Asia","Anatolia","Çatalhöyük","Neolithic","NENE","Middle Neolithic",37.666667,32.828056,"F","Çatalhöyük","","H+73","",-6450,-6380,"6450-6380 calBCE","","","Chyleński et al. 2019","http://dx.doi.org/10.3390/genes10030207","https://www.ncbi.nlm.nih.gov/popset/1561759632","0","1",6.3,"reconstructed",""
"20850","","Turkey","Asia","Anatolia","Çatalhöyük","Neolithic","NENE","Middle Neolithic",37.666667,32.828056,"M","Çatalhöyük","","H","",-6450,-6380,"6450-6380 calBCE","","","Chyleński et al. 2019","http://dx.doi.org/10.3390/genes10030207","https://www.ncbi.nlm.nih.gov/popset/1561759632","0","1",11.3,"reconstructed",""
"21981","","Turkey","Asia","Anatolia","Çatalhöyük","Neolithic","NENE","Middle Neolithic",37.666667,32.828056,"M","Çatalhöyük","","K1a17","",-6450,-6380,"6450-6380 calBCE","","","Chyleński et al. 2019","http://dx.doi.org/10.3390/genes10030207","https://www.ncbi.nlm.nih.gov/popset/1561759632","0","1",3.8,"reconstructed",""
